thread_id,topic
4620991116.0,"(1.774390083144922e-06, 4.852555491328155e-05, 1.5063790053705503e-05, 6.381734862038596e-06, 0.9998823364654925, 4.5918064595170355e-05)"
4664945699.0,"(0.26760957259555634, 0.07066593226523607, 0.010105892469721052, 0.0366967672202743, 0.4105245650744337, 0.20439727037477856)"
4796236141.0,"(0.23941125468886443, 0.03705004873399775, 0.06874745595663126, 0.0703356004217506, 0.3963941650296343, 0.18806147516912164)"
4834441026.0,"(0.28824380683643985, 0.056133833533310855, 0.04459892551797224, 0.02596612569093917, 0.32804163490239036, 0.25701567351894744)"
4838399454.0,"(0.009010436401061219, 7.115097367182675e-05, 5.143327195013113e-06, 2.2444788297986552e-07, 0.9099221150311663, 0.08099092981902256)"
4913195903.0,"(0.35424233045174147, 0.018617104670872187, 0.0018485108100130183, 0.010905123813453408, 0.503527256010427, 0.11085967424349308)"
4928527781.0,"(2.726982697849583e-09, 5.387313450035044e-09, 8.067507298012634e-09, 5.41462491217542e-09, 1.653652756473447e-05, 0.9999834418760069)"
4933460659.0,"(1.2335042551258852e-05, 3.3780703636719344e-05, 1.298632362735397e-06, 1.265284769919549e-05, 0.9999128070667986, 2.71257069515356e-05)"
4942278027.0,"(0.0002956736025956111, 4.635839839955513e-09, 6.949116987569481e-06, 4.659341640148143e-09, 0.9993971878463402, 0.00030018013889502053)"
4960742511.0,"(0.2041813145909541, 0.0334209925431752, 0.026568041551412774, 0.08318927227736764, 0.36132138015670917, 0.29131899888038104)"
4967505855.0,"(0.40464097404645444, 0.03922676201280323, 0.04265837700105539, 0.13406481261280348, 0.218798747807198, 0.16061032651968546)"
4968803005.0,"(0.15082087779036454, 0.13273978599819702, 0.0066925182199651986, 0.18764176798820337, 0.24773061798232487, 0.27437443202094497)"
4976285627.0,"(0.15151590607163828, 0.20167577127336866, 0.02189393692753111, 0.14384360143402292, 0.3852762804129779, 0.09579450388046103)"
4984150914.0,"(0.24422684882550677, 0.04718183075027296, 0.03465160069627576, 0.048461024349379885, 0.4438211398973802, 0.18165755548118442)"
4984182301.0,"(0.30323191272141886, 0.013067993345766598, 0.011476889139268653, 0.0389821003379732, 0.3290309422475564, 0.30421016220801633)"
4988297648.0,"(0.14477135951497655, 0.0396312495413908, 0.05998291483304233, 0.04484313205062288, 0.33983251714320484, 0.37093882691676267)"
5004328591.0,"(0.31273748845061367, 0.09965373805810973, 0.024931615268257823, 0.11592668359124214, 0.30242972904035204, 0.14432074559142483)"
5011694722.0,"(0.23195038518917466, 0.04844854373118598, 0.0044814399150434805, 0.041897678105878654, 0.31543065078999327, 0.35779130226872397)"
5023339344.0,"(0.14128120153027202, 0.18049911622689901, 0.018139192528940886, 0.14140434001896973, 0.38214910763596077, 0.13652704205895771)"
5024432981.0,"(0.006217349008748813, 0.369489909271673, 1.2027055761239485e-08, 0.3168710813689538, 0.07396424663750638, 0.23345740168606224)"
5055279142.0,"(0.15658905075595514, 0.6281575264032804, 0.0018580961203851303, 0.0305806557191789, 0.06483557305160978, 0.11797909794959058)"
5064058891.0,"(0.4750515013681529, 0.040168821130991274, 0.00011514919789404421, 0.04998921379628671, 0.34839353823303054, 0.08628177627364457)"
5072529178.0,"(0.09104654528661796, 0.1706772050173787, 0.0020683473207693598, 0.07375153847050026, 0.1948035364415046, 0.4676528274632291)"
5075506273.0,"(0.21463322510163477, 0.083759782873383, 0.007640311380525839, 0.07458681903609837, 0.4128457977499732, 0.20653406385838496)"
5088559190.0,"(0.23743403504376073, 0.002385620181899022, 0.12396899215303891, 0.002495132200074745, 0.5317563814653473, 0.10195983895587975)"
5097423942.0,"(0.13900293377035436, 0.16684338880694877, 0.024697126477764664, 0.10422771027600349, 0.22024994248423815, 0.34497889818469074)"
5100692376.0,"(0.020667694264975077, 0.6416392804752524, 0.0032592165430089634, 0.0868661585546886, 0.15278003311784882, 0.09478761704422638)"
5106295677.0,"(0.22924227151166124, 0.18171888106888898, 0.005675137236485027, 0.11327719295631754, 0.33517804627853903, 0.13490847094810815)"
5109836756.0,"(0.37792958493567846, 0.3991293942707052, 1.7717049586905925e-05, 0.14163024122295767, 0.06854261455163607, 0.012750447969435717)"
